mu.R,mu.py,k.R,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,n,graph.var,corr.var,b.var,t.var.ratio,mean.var.ratio
NA,2.1472602739726026,NA,1.6641824193532708,24.33,504.2479733110926,0.5284090909090909,Negative Binomial,0.028,46,16,1,19,0.04521718,2
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,47,16,0,21,0.0414949,2
NA,2.278829604130809,NA,1.4542220976959108,53.64,2505.5583653044205,0.5431457703927492,Negative Binomial,0,48,16,1,21,0.0414949,2
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,49,16,0,23,0.03825944,2
NA,2.252072968490879,NA,1.5360083090953631,168.93666666666667,25075.021840422574,0.53009941089838,Negative Binomial,0,50,16,1,23,0.03825944,2
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,51,16,0,25,0.0357363,2
NA,2.2253641816623824,NA,1.5226105653279498,757.6633333333333,805140.7272616068,0.5332113977666538,Negative Binomial,0,52,16,1,25,0.0357363,2
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,53,16,0,27,0.03324964,2
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,54,16,1,27,0.03324964,2
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,55,16,0,29,0.03111772,2
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,56,16,1,29,0.03111772,2
NA,2.8312,NA,1.5859361972807797,1.9,1.7180984153461218,0.530093246679853,Negative Binomial,0.596,57,24,0,3,0.15044462,3
NA,5.350110619469026,NA,1.0705315469365602,1.5966666666666667,0.961456769530164,0.5463144836141838,Negative Binomial,0.63,58,24,1,3,0.15044462,3
NA,2.2197898423817866,NA,2.0734490311502474,3.1466666666666665,7.051031415068112,0.5110453648915187,Negative Binomial,0.303,59,24,0,5,0.11912856,3
NA,3.962121212121212,NA,1.0553886659062177,2.0766666666666667,1.9991214901306644,0.5770467582131062,Negative Binomial,0.47,60,24,1,5,0.11912856,3
NA,2.0905096660808438,NA,2.0280722416211248,5.823333333333333,28.909546844592715,0.5192307692307693,Negative Binomial,0.128,61,24,0,7,0.0975731,3
NA,3.132309941520468,NA,1.1375343558624442,2.7,4.627189324437031,0.565460910151692,Negative Binomial,0.352,62,24,1,7,0.0975731,3
NA,1.988888888888889,NA,1.8231897457755075,32.46666666666667,989.8137336669447,0.5351310700472711,Negative Binomial,0.008,63,24,0,9,0.08201116,3
NA,2.8803418803418803,NA,1.3252605272822213,3.1933333333333334,6.8149680289129835,0.5439708659293229,Negative Binomial,0.298,64,24,1,9,0.08201116,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,65,24,0,11,0.07032651,3
NA,2.6966199505358617,NA,1.3675594595942415,3.6166666666666667,10.518487628579372,0.550061143381229,Negative Binomial,0.178,66,24,1,11,0.07032651,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,67,24,0,13,0.06202945,3
NA,2.4651162790697674,NA,1.3053151064449626,4.696666666666666,17.072215735335,0.5505855562784645,Negative Binomial,0.222,68,24,1,13,0.06202945,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,69,24,0,15,0.0549127,3
NA,2.469269102990033,NA,1.229043511377679,6.123333333333333,29.77293299972199,0.5565085771947528,Negative Binomial,0.123,70,24,1,15,0.0549127,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,71,24,0,17,0.04972932,3
NA,2.318739054290718,NA,1.3806212518343122,8.436666666666667,64.43301640255768,0.5437122356495468,Negative Binomial,0.136,72,24,1,17,0.04972932,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,73,24,0,19,0.04521718,3
NA,2.1933333333333334,NA,1.4917021338953402,11.506666666666666,113.75808729496804,0.5422682370820668,Negative Binomial,0.095,74,24,1,19,0.04521718,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,75,24,0,21,0.0414949,3
NA,2.3287225386493082,NA,1.1589704685829028,16.14666666666667,237.0693800389213,0.5649895178197065,Negative Binomial,0.028,76,24,1,21,0.0414949,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,77,24,0,23,0.03825944,3
NA,2.2250889679715304,NA,1.4954766035354619,25.716666666666665,634.0247428412566,0.5473810475809676,Negative Binomial,0.036,78,24,1,23,0.03825944,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,79,24,0,25,0.0357363,3
NA,2.256779661016949,NA,1.4154493779845156,47.95,2356.5979983319435,0.5501314307172362,Negative Binomial,0.004,80,24,1,25,0.0357363,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,81,24,0,27,0.03324964,3
NA,2.292999135695765,NA,1.3045653725320885,110.55666666666667,10927.005960522658,0.5551262721447418,Negative Binomial,0,82,24,1,27,0.03324964,3
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,83,24,0,29,0.03111772,3
NA,2.271465741543799,NA,1.4275437149607237,274.24333333333334,90432.01747011399,0.5422871324933181,Negative Binomial,0,84,24,1,29,0.03111772,3
NA,2.9344512195121952,NA,1.4067874841134254,2.0433333333333334,2.06317486794551,0.5337662337662338,Negative Binomial,0.522,85,32,0,3,0.15044462,4
NA,5.753214941824862,NA,1.1063796986033991,1.61,0.891976647206005,0.5462480042575838,Negative Binomial,0.556,86,32,1,3,0.15044462,4
